Brand Name,Rating,MRP,Ram_size,Ram_type,Operating system,Disk_type,Disk_size
0,3.9,25990,4,0,1,1,4
2,4.4,122990,1,0,0,1,1
0,4.3,68990,1,0,1,1,1
0,4.3,59990,4,0,1,1,4
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
0,4.4,39990,4,0,0,1,4
2,4.0,37990,4,0,0,0,4
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
6,4.0,25950,3,0,0,1,3
5,4.4,60990,4,0,1,1,4
2,4.3,36990,4,0,1,1,4
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
3,4.3,235283,1,1,1,1,1
3,4.0,38990,4,0,1,1,4
2,4.5,67990,1,0,1,1,1
7,4.5,79990,1,0,1,1,1
6,4.2,36990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
2,4.5,67990,1,0,1,1,1
7,4.5,79990,1,0,1,1,1
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.3,89990,1,4,1,1,1
2,4.7,241990,2,1,1,1,2
2,4.3,43490,4,0,1,1,4
9,4.4,46990,4,0,0,1,4
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
12,4.0,40990,4,0,0,1,4
2,4.9,150990,1,0,1,1,1
6,4.2,39990,4,0,1,1,4
7,4.5,114990,1,0,0,1,1
2,4.0,37990,4,0,0,0,4
2,4.1,27990,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
3,4.2,40190,4,0,1,1,4
6,4.1,34990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
6,4.4,69990,4,0,1,1,4
2,4.3,59990,4,0,1,1,4
2,5.0,66990,1,0,1,1,1
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
3,4.3,54900,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
6,4.7,136990,1,0,1,1,1
3,4.3,48184,4,0,1,1,4
2,4.5,74990,1,0,1,1,1
0,4.8,60990,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.2,36990,4,0,1,1,4
5,4.2,49990,4,0,1,1,4
3,4.4,67990,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
